name,addr_pin,addr_longi,addr_lati
408 E Stoughton St_2b1b,"408 E Stoughton St, Champaign, IL 61820",40.11373,-88.23261
201 E Healey St_4b2b,"201 E Healey St, Champaign, IL 61820",40.1112,-88.23681
312 W Washington St_2b1b,"312 W Washington St, Champaign, IL 61820",40.12047,-88.24825
Chalmers Manor_2b1b,"105 E Chalmers St, Champaign, IL 61820",40.10628,-88.23797
314 E White St_3b2b,"314 E White St, Champaign, IL 61820",40.11465,-88.23375
Park Place_2b2b,"1117 Plymouth Dr, Champaign, IL 61821",40.08454,-88.26454
Loft 59_4b2.5b,"59 E John St, Champaign, IL 61820",40.10879,-88.23919
204 S Fifth_3b2b,"204 S 5th St, Champaign, IL 61820",40.11512,-88.23187
1103 Euclid St_5b2b,"1103 Euclid St, Champaign, IL 61820",40.10484,-88.23489
107 E Healey St_1b1b,"107 E Healey St, Champaign, IL 61820",40.11118,-88.23776
105 S Wright St_4b2b,"105 S Wright St, Champaign, IL 61820",40.11577,-88.2294
105 E John St_2b1b,"105 E John St, Champaign, IL 61820",40.10871,-88.23797
Country Brook Apartments_3b2.5b,"2502 W Springfield Ave, Champaign, IL 61821",40.11365,-88.28775
202 E John St_6b2b,"202 E John St, Champaign, IL 61820",40.10937,-88.23669
The Avenue Court_1b1b,"407 E University Ave, Champaign, IL 61820",40.11615,-88.23247
408 Springfield_4b2b,"408 E Springfield Ave, Champaign, IL 61820",40.11287,-88.2329
The Quarters_2b1b,"7 E Columbia Ave, Champaign, IL 61820",40.12092,-88.24279
54 E John St_5b1b,"54 E John St, Champaign, IL 61820",40.10918,-88.23947
Green Street Apartments_2b1b,"506-508 W Green St, Champaign, IL 61820",40.1104,-88.25102
Inman Place_2b1b,"17 E University Ave, Champaign, IL 61820",40.11602,-88.24242
The Suites at Third_4b4b,"302 E John St, Champaign, IL 61820",40.10938,-88.23611
203 S 4th St_4b3b,"203 S 4th St, Champaign, IL 61820",40.11507,-88.23376
501 E University Ave_3b2b,"501 E University Ave, Champaign, IL 61820",40.11606,-88.23182
Providence at Sycamore Hills_3b2b,"1301 N McKinley Ave, Champaign, IL 61821",40.12808,-88.26303
212 E White St_2b1b,"212 E White St, Champaign, IL 61820",40.11467,-88.23565
608 E White St_3b1.5b,"608 E White St, Champaign, IL 61820",40.11471,-88.22948
608 E Chalmers St_4b1b,"608 E Chalmers St, Champaign, IL 61820",40.10715,-88.2296
404 E Clark St_3b1b,"404 E Clark St, Champaign, IL 61820",40.11564,-88.23304
505 South First_4b2b,"505 S 1st St, Champaign, IL 61820",40.11179,-88.23893
103 E Chalmers St_4b2b,"103 E Chalmers St, Champaign, IL 61820",40.1062,-88.23821
301 E Chalmers_4b2b,"301 E Chalmers St, Champaign, IL 61820",40.10632,-88.23511
510 E White St_4b2b,"510 E White St, Champaign, IL 61820",40.11469,-88.23092
312 E White St_3b2b,"312 E White St, Champaign, IL 61820",40.11466,-88.234
308 E Armory Ave_4b2b,"308 E Armory Ave, Champaign, IL 61820",40.10567,-88.23433
Oakwood Trace_3b1.5b,"1121 Red Oak Ct, Champaign, IL 61820",40.12634,-88.23484
Illini Tower_4b2b,"409 E Chalmers St, Champaign, IL 61820",40.10646,-88.23243
Bankier Apartments_4b2b,"509 W Green St, Champaign, IL 61820",40.11011,-88.23087
615 W Kirby Ave_4b2b,"615 W Kirby Ave, Champaign, IL 61820",40.09692,-88.25076
