name,addr_pin,addr_longi,addr_lati
210 W Washington St_4b2b,"210 W Washington St, Champaign, IL 61820",40.12048,-88.24633
308 E Clark St_4b2b,"308 E Clark St, Champaign, IL 61820",40.11564,-88.23451
1119 Plymouth Dr_1b1b,"1119 Plymouth Dr, Champaign, IL 61821",40.08403,-88.26424
605 S 4th St_0b1b,"605 S 4th St, Champaign, IL 61820",40.11105,-88.23393
310 E Chalmers St_2b1b,"310 E Chalmers St, Champaign, IL 61820",40.10687,-88.23432
107 E Daniel St_4b2b,"107 E Daniel St, Champaign, IL 61820",40.10763,-88.23772
107 S Wright St_3b1b,"107 S Wright St, Champaign, IL 61820",40.11558,-88.22935
202 W Columbia Ave_1b1b,"202 W Columbia Ave, Champaign, IL 61820",40.12147,-88.24571
801 S 4th St_2b1b,"801 S 4th St, Champaign, IL 61820",40.10878,-88.23377
1012 S 1st St_2b1b,"1012 S 1st St, Champaign, IL 61820",40.10566,-88.23841
605 S 4th St_2b1b,"605 S 4th St, Champaign, IL 61820",40.11105,-88.23393
107 S Wright St_5b2b,"107 S Wright St, Champaign, IL 61820",40.11558,-88.22935
202 W Columbia Ave_2b1b,"202 W Columbia Ave, Champaign, IL 61820",40.12147,-88.24571
208 W Washington St_4b2b,"208 W Washington St, Champaign, IL 61820",40.12048,-88.24613
1119 Plymouth Dr_2b2b,"1119 Plymouth Dr, Champaign, IL 61821",40.08403,-88.26424
1012 S 1st St_2b1b,"1012 S 1st St, Champaign, IL 61820",40.10566,-88.23841
107 S Wright St_3b1b,"107 S Wright St, Champaign, IL 61820",40.11558,-88.22935
202 W Columbia Ave_2b1b,"202 W Columbia Ave, Champaign, IL 61820",40.12147,-88.24571
310 E Chalmers St_2b1b,"310 E Chalmers St, Champaign, IL 61820",40.10687,-88.23432
107 S Wright St_0b1b,"107 S Wright St, Champaign, IL 61820",40.11558,-88.22935
202 W Columbia Ave_1b1b,"202 W Columbia Ave, Champaign, IL 61820",40.12147,-88.24571
107 E Daniel St_4b2b,"107 E Daniel St, Champaign, IL 61820",40.10763,-88.23772
107 E Daniel St_4b2b,"107 E Daniel St, Champaign, IL 61820",40.10763,-88.23772
107 E Daniel St_4b2b,"107 E Daniel St, Champaign, IL 61820",40.10763,-88.23772
506 E White St_2b1b,"506 E White St, Champaign, IL 61820",40.1147,-88.23138
506 E White St_3b1b,"506 E White St, Champaign, IL 61820",40.1147,-88.23138
805 S Locust St_4b1b,"805 S Locust St, Champaign, IL 61820",40.10882,-88.24035
805 S Locust St_4b1b,"805 S Locust St, Champaign, IL 61820",40.10882,-88.24035
750 Sedgegrass Dr_3b2.5b,"750 Sedgegrass Dr, Champaign, IL 61822",40.1237,-88.30617
2401 Clayton Blvd_1b1b,"2401 Clayton Blvd, Champaign, IL 61822",40.12712,-88.2865
1516 Stonebluff Ct_3b2.5b,"1516 Stonebluff Ct, Champaign, IL 61822",40.13383,-88.30283
2401 Clayton Blvd_0b1b,"2401 Clayton Blvd, Champaign, IL 61822",40.12712,-88.2865
756 Sedgegrass Dr_3b2.5b,"756 Sedgegrass Dr, Champaign, IL 61822",40.12412,-88.30618
1518 Greyrock Ln_3b2.5b,"1518 Greyrock Ln, Champaign, IL 61822",40.13312,-88.30376
1404 Cobblestone Way_3b2.5b,"1404 Cobblestone Way, Champaign, IL 61822",40.13036,-88.30454
752 Sedgegrass Dr_3b2.5b,"752 Sedgegrass Dr, Champaign, IL 61822",40.12383,-88.30615
1515 W Kirby Ave_2b1.5b,"1515 W Kirby Ave, Champaign, IL 61821",40.09819,-88.27151
1204 W Bradley Ave_3b1b,"1204 W Bradley Ave, Champaign, IL 61821",40.1275,-88.26565
2401 Clayton Blvd_2b2b,"2401 Clayton Blvd, Champaign, IL 61822",40.12712,-88.2865
410 E Park St_5b5b,"410 E Park St, Champaign, IL 61820",40.11764,-88.23257
1001 N Walnut St_4b3b,"1001 N Walnut St, Champaign, IL 61820",40.1251,-88.24145
210 E Park St_4b3b,"210 E Park St, Champaign, IL 61820",40.11762,-88.23589
1515 W Kirby Ave_2b1.5b,"1515 W Kirby Ave, Champaign, IL 61821",40.09819,-88.27151
